taxon,lineage
Singapore/242/2020,B.6
Singapore/338/2020,B.6
Singapore/243/2020,B.6
Singapore/247/2020,B.6
Singapore/257/2020,B.6
Singapore/259/2020,B.6
Singapore/260/2020,B.6
Singapore/262/2020,B.6
Singapore/264/2020,B.6
Singapore/266/2020,B.6
Singapore/277/2020,B.6
Singapore/282/2020,B.6
Singapore/288/2020,B.6
Singapore/289/2020,B.6
Singapore/300/2020,B.6
Singapore/301/2020,B.6
Singapore/305/2020,B.6
Singapore/308/2020,B.6
Singapore/327/2020,B.6
Singapore/335/2020,B.6
Singapore/345/2020,B.6
Singapore/350/2020,B.6
Singapore/352/2020,B.6
Singapore/353/2020,B.6
Singapore/354/2020,B.6
Singapore/357/2020,B.6
Singapore/373/2020,B.6
Singapore/379/2020,B.6
Singapore/381/2020,B.6
Singapore/384/2020,B.6
Singapore/385/2020,B.6
Singapore/386/2020,B.6
Singapore/389/2020,B.6
Singapore/395/2020,B.6
Singapore/397/2020,B.6
Singapore/400/2020,B.6
Singapore/401/2020,B.6
Singapore/406/2020,B.6
Singapore/402/2020,B.6
Singapore/47/2020,B.6
Slovenia/MB0329/2020,B.6
Singapore/240/2020,B.6
India_CCMB/NIV2/2020,B.6
India_CCMB/J283/2020,B.6
Malaysia_IMR/WC2423/2020,B.6
Australia/VIC1189/2020,B.6
India/NCDC-02330/2020,B.6
India/NCDC-02322/2020,B.6
India/nimh-1596/2020,B.6
India/nimh-1598/2020,B.6
India/NCDC-2502/2020,B.6
India/NCDC-2525/2020,B.6
India_CCMB/O3/2020,B.6
India/NCDC-3230/2020,B.6
India/NCDC-3982/2020,B.6
India_CCMB/J067/2020,B.6
India_CCMB/K128/2020,B.6
India_CCMB/K849/2020,B.6
Jamaica/JM-CDC-4376/2020,B.6
India/NIV-6311/2020,B.6
India/NIV-6315/2020,B.6
India/NIV-7966/2020,B.6
India_THSTI-BAL/231/2020,B.6
Malaysia/IIUM316/2020,B.6
Turkey_VETAL1902/2/2020,B.6
Thailand/Bangkok-CONI-0107/2020,B.6
